judul,tanggal,sentimen
"Direktur Garuda Salman El Farisiy Meninggal, Ini Sosoknya!",2024/01/01,negatif
"Catatan Sejarah 2023, Indonesia Luncurkan Bursa Karbon",2024/01/01,netral
"Ramalan Bitcoin Paling Gila 2024, Naik 1.000% Jadi US$500.000",2024/01/01,netral
Wah! Segini Harta Mantan Istri Prabowo Titiek Soeharto,2024/01/01,netral
"Pensiun di Oktober 2024, Jokowi Kantongi Uang Pensiun Segini!",2024/01/01,netral
"Gas! 8 Emiten Baru Bakal Melantai di Bursa 2024, Siapa Saja?",2024/01/01,positif
Wall Street Mengawali Tahun 2024 Dengan Tak Sumringah,2024/01/02,negatif
"Jika Jiwasraya Dibubarkan, Aset Saham Bakal Dijual?",2024/01/02,negatif
"Pernikahan Viral, Segini Harta Budisatrio Keponakan Prabowo",2024/01/02,netral
Satgas Pasti OJK Blokir 6.680 Pinjol Ilegal dan Pinpri,2024/01/02,negatif
"PTBA Gandeng KAI, Mau Angkut 20 Juta Ton Batu Bara",2024/01/02,positif
Kapan Kripto Diawasi OJK? Ini Bocorannya,2024/01/02,netral
"Dapat Restu RKAB, Produksi Batu Bara BUMI Bisa Capai Segini",2024/01/02,netral
"Waktu Habis, Emiten Tak Penuhi Free Float 7,5% Dibuka Bursa",2024/01/02,negatif
"Perdagangan Perdana 2024, IHSG Cetak Rekor Baru di 7.323,59",2024/01/02,positif
Wall Street Ambruk Lagi Jelang The Fed Minutes,2024/01/03,negatif
Rukun Raharja (RAJA) Bangun Stasiun Induk CNG Baru di Jateng,2024/01/03,positif
"Menguak Motif Budi Said Beli Emas Antam Hingga Rp3,5 T",2024/01/03,netral
Konglomerat Ini Pernah Bikin Presiden Soeharto Heran,2024/01/03,netral
BEI Bakal Tunjuk Sekuritas yang Bisa Jadi Market Maker,2024/01/03,netral
BTN Targetkan Laba Naik 14% di 2024,2024/01/03,positif
"IHSG Berakhir Loyo, Saham-Saham Big Cap Ini Biang Keroknya",2024/01/03,negatif
Tahun Ini PPRO Bakal Divestasi Aset Total Rp 356 Miliar,2024/01/03,positif
"Pasar Bersiap Tunggu Data dari AS, Rupiah Melemah Tipis",2024/01/03,negatif
"Orang Nganggur di AS Turun, Wall Street Terjun Bebas",2024/01/04,negatif
"Garuda (GIAA) Lunasi Sebagian Utang Obligasi, Tinggal Sisa Segini",2024/01/04,positif
"Pengumuman! OJK Cabut Izin BPR Wijaya Kusuma, Nasabah Cek Ini",2024/01/04,negatif
"Bisnis Bareng Salim, Soeharto Nyaris Dipecat dari TNI",2024/01/04,netral
"Saham BNI Tembus Rp 5.600, Cetak Rekor Baru Sepanjang Masa!",2024/01/04,positif
"Kejagung Lelang Tas Hermes Istri Bentjok, Birkin Cuma Rp 61 Juta",2024/01/04,netral
Saham Bank Mandiri Melonjak 4% Lebih & Cetak Rekor Baru,2024/01/04,positif
"IHSG Cetak Rekor Baru Lagi! Ditutup Melesat 1,11%",2024/01/04,positif
"Daftar Terbaru Investor IKN, Ada Grup Djarum, Astra, hingga Alfamart",2024/01/04,netral
"Libur Nataru, Transaksi Kartu Kredit Bank Mega Syariah Naik 50%",2024/01/04,positif
"Bahas Ini, Erick Thohir Rapat Bareng MenPANRB dan Menkominfo",2024/01/04,netral
"Sukanto Tanoto Beli Hotel Mewah di China, Gelontorkan Rp 3,7 T",2024/01/04,netral
"Dolar Makin Perkasa, Rupiah Melemah 3 Hari Beruntun",2024/01/04,negatif
DBS Indonesia Angkat Eks Bos OJK Jadi Komisaris Independen,2024/01/04,netral
"Investasi Primadona, Harga Emas dari Tahun ke Tahun Sejak 1970",2024/01/04,netral
"BTN Kirim Surat Minat Masuk Muamalat, Pemegang Saham Buka Suara",2024/01/04,netral
"Cetak Rekor ATH Baru! IHSG Melesat Nyaris 1% Tembus 7.348,52",2024/01/04,positif
