stream_id,created_at,created_display,content,title,type,symbol,topics,username,fullname,user_id,is_verified,is_pro,total_likes,total_replies,parent_stream_id,is_pinned,is_trending,has_image,image_url,tp_target_price,tp_last_price,tp_duration_days,tp_agree,tp_disagree,url,label
29135936,2026-03-03 08:53:40,"3 Mar 26, 08:53",$MDKAHDPJ6A otwwww naek buat thrr $BUMI $BNBR marii kasi gas untuk thr,,STREAM_TYPE_UNSPECIFIED,BUMI,"MDKAHDPJ6A, BUMI, BNBR",patuyy,Fathur Rahman,6758686,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135936,Positif
29135874,2026-03-03 08:53:04,"3 Mar 26, 08:53",$BUMI ✌✌✌,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,AbdielDaud,Saut Maruli Sitompul,5317348,False,False,0,0,0,False,False,False,,302.0,248.0,7.0,39.0,2.0,https://stockbit.com/stream/29135874,Positif
29135821,2026-03-03 08:52:37,"3 Mar 26, 08:52",iep gede biasanya bakal nyungsep $BUMI,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,rezagamming,reza gamming,3305751,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135821,Negatif
29135706,2026-03-03 08:51:21,"3 Mar 26, 08:51",$BUMI,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,AsMul19,mama ghufron,3914467,False,False,0,1,29135706,False,False,False,,350.0,248.0,7.0,55.0,7.0,https://stockbit.com/stream/29135706,Netral
29135649,2026-03-03 08:50:25,"3 Mar 26, 08:50",$BUMI atur iepnya sebrengsek mungkin ndar,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,Ajibpratama06,Ajib pratama,5567322,False,False,4,3,29135649,False,False,False,,,,,,,https://stockbit.com/stream/29135649,Netral
29135615,2026-03-03 08:49:45,"3 Mar 26, 08:49",$TFAS TP SECUKUPNYAAAA KELUAR SELAGI BISA  tag random $BNBR $BUMI,,STREAM_TYPE_UNSPECIFIED,BUMI,"TFAS, BNBR, BUMI",huuuuuuu,husin hafid,2852026,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135615,Positif
29135606,2026-03-03 08:49:36,"3 Mar 26, 08:49",Prepare for battle 🦈  RT $BNBR $BUMI $MEDC,,STREAM_TYPE_UNSPECIFIED,BUMI,"BNBR, BUMI, MEDC",Himiuu,Frieren,5864055,False,False,3,1,29135606,False,False,True,https://stream-asset.stockbit.com/ec8387c6-e0c9-40d0-ab21-6f0d6bc49fb5_stream.png,,,,,,https://stockbit.com/stream/29135606,Positif
29135569,2026-03-03 08:48:55,"3 Mar 26, 08:48",$BUMI iep gede ayo kumpul kita terbang bareng gantian   $ENRG $MEDC,,STREAM_TYPE_UNSPECIFIED,BUMI,"BUMI, ENRG, MEDC",Yogidp16,Yogi Dias,6446794,False,False,0,1,29135569,False,False,False,,,,,,,https://stockbit.com/stream/29135569,Positif
29135562,2026-03-03 08:48:39,"3 Mar 26, 08:48","$ANTM  harga XAUUSD naik kenceng ke 5.364, bisa kali hari ini antm ke 5000 di tengah guncangan geopolitik yg gak stabil, emas menjadi safe heaven terbaik dari jaman dulu.   random tag $BUMI $ENRG",,STREAM_TYPE_UNSPECIFIED,BUMI,"ANTM, BUMI, ENRG",FajarSkyy,Fajar Skyy,4656975,False,False,1,0,0,False,False,False,,5000.0,4610.0,7.0,41.0,10.0,https://stockbit.com/stream/29135562,Positif
29135522,2026-03-03 08:47:45,"3 Mar 26, 08:47",$BUMI nah IEP nya lucu nih. perusahaan minyak urut dan batu bata 😂   $ENRG $ANTM,,STREAM_TYPE_UNSPECIFIED,BUMI,"BUMI, ENRG, ANTM",bataragie,wisanggeni,2863228,False,False,3,2,29135522,False,False,False,,,,,,,https://stockbit.com/stream/29135522,Positif
29135514,2026-03-03 08:47:34,"3 Mar 26, 08:47",$TFAS  Gas masuk Sebelum Terbang   $BUMI $BNBR,,STREAM_TYPE_UNSPECIFIED,BUMI,"TFAS, BUMI, BNBR",Titinadiew16,titin,4047259,False,False,3,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135514,Positif
29135505,2026-03-03 08:47:25,"3 Mar 26, 08:47",$BUMI semoga IEP nya gak nipu lagi,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,NhunuAzka,Nunu Nunu,5832506,False,False,1,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135505,Netral
29135503,2026-03-03 08:47:24,"3 Mar 26, 08:47",$BUMI kocok terua iep nya ndar,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,Ajibpratama06,Ajib pratama,5567322,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135503,Negatif
29135493,2026-03-03 08:47:11,"3 Mar 26, 08:47","Perang masih terus berlangsung, belum ada yang mau mengalah Oil gas lng batu bara sudah dipastikan naik, terbaru harga batu bara dan oil lompat lagi. Harga saham kesayangan $BUMI sudah di fase oversold, tinggal tunggu lompatnya saja. Saya masih yakin ga lama lagi harga BUMI maen di 500  Saham $DATA ini saham telco, lihat harga EXCL WIFI ISAT dkk setiap hari dibawa turun, ini saham saya rasa ga lama lagi maen di 3000, naek ke 4000 cuma buat mancing retail, abis itu dibanting lagi, gitu aja terus sampe indonesia sama mars tabrakan 🤣🤣 Buat para haters, sabar aja, laen kali kalau baru naek dikit ditahan dulu jarinya, kalo kaya kemaren kan malu hapus2 post 🤣🤣🤣  Saya lihat holder DATA ini masih pada bocil2 sma, yang kalo post hapus post hapus, kamu lihat post saya dari awal saya cover DATA sampai sekarang tidak pernah hapus post. Itu namanya ""keyakinan"", kalau yakin dan niatnya baik niscaya pasti dikasih 3000. Percayalah  Ingat pesan saya 1, bandar ga mungkin kasih duit ente retail2 curut, dah itu aja. Cheers",,STREAM_TYPE_UNSPECIFIED,BUMI,"BUMI, DATA",CUANDESTROYER,Cash Ripper,719692,False,False,0,1,29135493,False,False,False,,,,,,,https://stockbit.com/stream/29135493,Positif
29135453,2026-03-03 08:46:16,"3 Mar 26, 08:46",$BUMI Pagi Pagi Udah Gocek,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,RaihanHauzan,RHN,4273156,False,False,0,0,0,False,False,True,https://stream-asset.stockbit.com/stream_4273156_7b14f572-3808-4984-b93d-dba5e3a1ca90_0.jpg,,,,,,https://stockbit.com/stream/29135453,Positif
29135444,2026-03-03 08:45:58,"3 Mar 26, 08:45",$BUMI apakau kau tipu lagi diriku dengan iep palsu mu itu?,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,Ajibpratama06,Ajib pratama,5567322,False,False,1,1,29135444,False,False,False,,,,,,,https://stockbit.com/stream/29135444,Negatif
29135437,2026-03-03 08:45:52,"3 Mar 26, 08:45",$BUMI BOOM iep +8%,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,rshiller,rshiller,1594006,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135437,Positif
29135435,2026-03-03 08:45:50,"3 Mar 26, 08:45",$BUMI serius ni IEP,,STREAM_TYPE_UNSPECIFIED,BUMI,BUMI,frlubis,Fachrul Reja Lubis,685004,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135435,Positif
29135398,2026-03-03 08:45:12,"3 Mar 26, 08:45","Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) terkoreksi signifikan di tengah kekhawatiran eskalasi perang antara AS-Israel dan Iran. Pada perdagangan Senin (2/3/2026), indeks turun 218,66 atau -2,66% ke 8.016,83. Nilai transaksi kemarin tinggi, tembus Rp29,83 triliun, melibatkan 56,6...",Asing Terciduk Kompak Lego 10 Saham Ini Kala IHSG Anjlok,STREAM_TYPE_NEWS,BUMI,"IHSG, MEDC, BBCA, BBNI, BMRI, ELSA, EMAS, INCO, HRTA, SGX-BJE, CUAN, BUMI",StockbitNews,Stockbit News,472,True,False,2,0,0,False,False,True,https://awsimages.detik.net.id/visual/2025/09/09/pergerakan-indeks-harga-saham-gabungan-ihsg-di-bursa-efek-indonesia-jakarta-selasa-992025-cnbc-indonesiamuhammad-sabki-1757395638459_169.jpeg?w=900&q=80,,,,,,https://stockbit.com/stream/29135398,Negatif
29135371,2026-03-03 08:44:31,"3 Mar 26, 08:44",$TFAS  gass masuk bakal terbang lagi     rt: $BUMI $MEDC,,STREAM_TYPE_UNSPECIFIED,BUMI,"TFAS, BUMI, MEDC",Titinadiew16,titin,4047259,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135371,Positif
29135356,2026-03-03 08:44:07,"3 Mar 26, 08:44","Info²  BATUBARA naik kuencenngg $BUMI $ADMR $AADI  Seperti biasa....  1. *KALAU* sudah punya barang bisa jual amankan profit  2. *KALAU* belum punya *JANGAN DIKEJAR* WNS aja dlu, tenang-tenang aja   _*""LEBIH BAIK KEHILANGAN MOMENT DARIPADA KEHILANGAN UANG""*_  ingat² itu  Pasti koreksi kok, nah nanti masuknya disitu",,STREAM_TYPE_UNSPECIFIED,BUMI,"Bumi, admr, aadi",simphytum,simphytum,2421617,False,False,4,1,29135356,False,False,False,,,,,,,https://stockbit.com/stream/29135356,Positif
29135327,2026-03-03 08:43:14,"3 Mar 26, 08:43","$ENRG Perang ini udh bukan perang biasa lagi. Tapi udh memasuki fase perang dunia ke 3. Amankan aset kalian ke emiten yg lebih berharga, perminyakan akan menjadi emiten paling diburu banyak investor. Mumpung belum terlambat.    $BUMI $BULL",,STREAM_TYPE_UNSPECIFIED,BUMI,"ENRG, BUMI, BULL",Rezaady,Rissa Hadi,6297184,False,False,3,0,0,False,False,True,https://stream-asset.stockbit.com/stream_6297184_fe621a16-1ed8-46f5-bc40-8d39dcc39599_1.jpg,,,,,,https://stockbit.com/stream/29135327,Positif
29135224,2026-03-03 08:40:39,"3 Mar 26, 08:40",$BUMI naik nih batubara.. bumi gmn ini membumi lagi apa ikutan terkerek naik?  $DEWA,,STREAM_TYPE_UNSPECIFIED,BUMI,"BUMI, DEWA",ekacher,mami cher,1798558,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135224,Positif
