stream_id,created_at,created_display,content,title,type,symbol,topics,username,fullname,user_id,is_verified,is_pro,total_likes,total_replies,parent_stream_id,is_pinned,is_trending,has_image,image_url,tp_target_price,tp_last_price,tp_duration_days,tp_agree,tp_disagree,url,label
29136140,2026-03-03 08:56:02,"3 Mar 26, 08:56",$INET banyak sekali kumpulan mnusia laknat Disni ..brharp org2 pada CL lalu mrka bli hrga Bwah ...,,STREAM_TYPE_UNSPECIFIED,INET,INET,RichardAntony,Toni,292432,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29136140,Negatif
29135732,2026-03-03 08:51:40,"3 Mar 26, 08:51",ARB kan lagi ndrr $INET $PADA biar ngekor,,STREAM_TYPE_UNSPECIFIED,INET,"INET, PADA",tsabitar,Kalimatsyahadat,283313,False,False,1,1,29133603,False,False,False,,,,,,,https://stockbit.com/stream/29135732,Positif
29135243,2026-03-03 08:41:01,"3 Mar 26, 08:41",$TFAS Cuss Terbang lagii hari Ini 🔥   random tag $INET $DEWA,,STREAM_TYPE_UNSPECIFIED,INET,"TFAS, INET, DEWA",ZakkilM,Zakkil Mubarak,5541039,False,False,1,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135243,Positif
29135162,2026-03-03 08:38:25,"3 Mar 26, 08:38",$INET CL aja udah tel biar SID berkurang🤣,,STREAM_TYPE_UNSPECIFIED,INET,INET,KemalElFaraouk,Kemalsss,783906,False,False,1,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29135162,Negatif
29134545,2026-03-03 08:12:08,"3 Mar 26, 08:12",Yuk hari ini ARB lagi ndar biar ritel bisa avg down $PADA $INET $COIN 🤭🤣,,STREAM_TYPE_UNSPECIFIED,INET,"PADA, INET, COIN",tsabitar,Kalimatsyahadat,283313,False,False,1,14,29066106,False,False,False,,,,,,,https://stockbit.com/stream/29134545,Positif
29134328,2026-03-03 07:59:15,"3 Mar 26, 07:59",$INET  Amanin Cash Cutloss aja.,,STREAM_TYPE_UNSPECIFIED,INET,INET,KemalAsrafi,XL,5732943,False,False,1,8,29134328,False,False,False,,,,,,,https://stockbit.com/stream/29134328,Negatif
29134177,2026-03-03 07:46:00,"3 Mar 26, 07:46",$INET  saat seperti ini seluruh orang pada HAKI mengamankan cash...,,STREAM_TYPE_UNSPECIFIED,INET,INET,Kiagusakah,Kiagus Mohammad Arbakah,5027773,False,False,1,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29134177,Netral
29134031,2026-03-03 07:33:10,"3 Mar 26, 07:33","1. Jika Iran memutuskan kabel internet bawah laut di Selat Hormuz, hampir separuh dunia digital akan lumpuh.  2. Internet jadi perlahan, AI jem, video Youtube lag, transaksi bank dan servis cloud terganggu, orang yang bergantung pada dunia digital susah nak buat kerja dsb.   3. Kesan lebih besar sebenarnya pada ekonomi dan pasaran global, bukan sekadar WiFi slow. Kawasan yang terkesan akan kembali ke internet tahun 1996.  rt $INET $WIFI",,STREAM_TYPE_UNSPECIFIED,INET,"INET, WIFI",lambelunyu,mustofa,6624569,False,False,2,0,0,False,False,True,https://stream-asset.stockbit.com/stream_6624569_526e61e7-4545-4a97-a68c-caf103313c6c_1.jpg,,,,,,https://stockbit.com/stream/29134031,Netral
29133751,2026-03-03 06:58:11,"3 Mar 26, 06:58",$INET saat tambah muatan mumpung sedang dizkonz,,STREAM_TYPE_UNSPECIFIED,INET,INET,khozein,khozein,5722880,False,False,0,0,0,False,False,False,,,,,,,https://stockbit.com/stream/29133751,Positif
29133603,2026-03-03 06:32:03,"3 Mar 26, 06:32",akankah makin $INET $PADA makin dalam harini,,STREAM_TYPE_UNSPECIFIED,INET,"INET, PADA",FaiqSaputra,ciko,5652177,False,False,0,1,29133603,False,False,True,https://stream-asset.stockbit.com/stream_5652177_688c22f0-c95d-4d65-9150-b891aca7cd0f_1.jpg,,,,,,https://stockbit.com/stream/29133603,Positif
